Ref,Val,Package,PosX,PosY,Rot,Side
"D57","D_Small","D_SOD-123",443.706250,-30.225000,270.000000,bottom
"F1","Polyfuse_Small","Fuse_1206_3216Metric",386.275000,20.862500,90.000000,bottom
"R1","220","R_0402_1005Metric",383.750000,1.485000,270.000000,bottom
"R2","22","R_0603_1608Metric",374.600000,-27.887500,90.000000,bottom
"R3","22","R_0603_1608Metric",376.200000,-27.900000,90.000000,bottom
"R4","10K","R_0603_1608Metric",384.943153,-26.843153,315.000000,bottom
"R5","10K","R_0603_1608Metric",382.843153,-39.756847,45.000000,bottom
"R6","5.1k","R_0603_1608Metric",379.575000,21.575000,90.000000,bottom
"R7","5.1k","R_0603_1608Metric",384.075000,21.675000,90.000000,bottom
"R8","220","R_0402_1005Metric",380.650000,-2.315000,270.000000,bottom
"SW1","SW_Push","SKQG-1155865",383.150000,-15.800000,90.000000,bottom
"U1","ATmega32U4-MU","QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm",381.800000,-33.519239,315.000000,bottom
"USB1","HRO-TYPE-C-31-M-12","HRO-TYPE-C-31-M-12-HandSoldering",381.575000,33.962500,0.000000,bottom
"Y1","Crystal_GND24_Small","Crystal_SMD_3225-4Pin_3.2x2.5mm",381.887500,-23.362500,0.000000,bottom
